x1	x2	x3	y
-479	0	0	458882
-340	0	0	231200
-282	0	0	159048
-210	0	0	88200
-46	0	0	4232
-192	0	0	73728
-10	0	0	200
-139	0	0	38642
-282	0	0	159048
-99	0	0	19602
-154	0	0	47432
-43	0	0	3698
-174	0	0	60552
-350	0	0	245000
-508	0	0	516128
-430	0	0	369800
-435	0	0	378450
-330	0	0	217800
-482	0	0	464648
-373	0	0	278258
-356	0	0	253472
-252	0	0	127008
-261	0	0	136242
-313	0	0	195938
-444	0	0	394272
-650	0	0	845000
-685	0	0	938450
-522	0	0	544968
-523	0	0	547058
-364	0	0	264992
-165	0	0	54450
-334	0	0	223112
-355	0	0	252050
-303	0	0	183618
-282	0	0	159048
-222	0	0	98568
-20	0	0	800
0	0	0	0
181	0	0	65522
329	0	0	216482
235	0	0	110450
304	0	0	184832
276	0	0	152352
194	0	0	75272
335	0	0	224450
145	0	0	42050
99	0	0	19602
212	0	0	89888
9	0	0	162
-17	0	0	578
93	0	0	17298
47	0	0	4418
81	0	0	13122
174	0	0	60552
34	0	0	2312
-65	0	0	8450
102	0	0	20808
249	0	0	124002
62	0	0	7688
72	0	0	10368
33	0	0	2178
9	0	0	162
-119	0	0	28322
31	0	0	1922
-56	0	0	6272
68	0	0	9248
20	0	0	800
-60	0	0	7200
-39	0	0	3042
-122	0	0	29768
-322	0	0	207368
-500	0	0	500000
-363	0	0	263538
-497	0	0	494018
-621	0	0	771282
-614	0	0	753992
-485	0	0	470450
-515	0	0	530450
-348	0	0	242208
-505	0	0	510050
-361	0	0	260642
-383	0	0	293378
-361	0	0	260642
-302	0	0	182408
-363	0	0	263538
-159	0	0	50562
-50	0	0	5000
-251	0	0	126002
-314	0	0	197192
-452	0	0	408608
-502	0	0	504008
-637	0	0	811538
-462	0	0	426888
-468	0	0	438048
-600	0	0	720000
-433	0	0	374978
-449	0	0	403202
-486	0	0	472392
-563	0	0	633938
-481	0	0	462722
-459	0	0	421362
-645	0	0	832050
-622	0	0	773768
-460	0	0	423200
-381	0	0	290322
-322	0	0	207368
-307	0	0	188498
-399	0	0	318402
-254	0	0	129032
-355	0	0	252050
-306	0	0	187272
-429	0	0	368082
-401	0	0	321602
-297	0	0	176418
-255	0	0	130050
-226	0	0	102152
-265	0	0	140450
-71	0	0	10082
-244	0	0	119072
-391	0	0	305762
-400	0	0	320000
-566	0	0	640712
-750	0	0	1125000
-963	0	0	1854738
-1106	0	0	2446472
-928	0	0	1722368
-1080	0	0	2332800
-1121	0	0	2513282
-1087	0	0	2363138
-1156	0	0	2672672
